sample	Genetic_load	N_del	cutoff	cutoff_score	chr	miss
PI152651_PI152651	-118647.02269519982	11760	25%	-3.75	Chr09	miss50
PI17548_PI17548	-152414.263368	15063	25%	-3.75	Chr09	miss50
PI24969_PI24969	-124937.76802559967	12492	25%	-3.75	Chr09	miss50
PI276837_PI276837	-148558.8207252998	14507	25%	-3.75	Chr09	miss50
PI329435_PI329435	-146773.85819719973	14652	25%	-3.75	Chr09	miss50
PI329440_PI329440	-125126.97555289979	12365	25%	-3.75	Chr09	miss50
PI34911_PI34911	-132500.8453658998	13037	25%	-3.75	Chr09	miss50
PI35038_PI35038	-154681.0156710006	15254	25%	-3.75	Chr09	miss50
PI48770_PI48770	-146545.81487170034	16868	25%	-3.75	Chr09	miss50
PI533750_PI533750	-117967.32443189963	11691	25%	-3.75	Chr09	miss50
PI533752_PI533752	-150760.98583100014	14692	25%	-3.75	Chr09	miss50
PI533754_PI533754	-118697.51181219988	12344	25%	-3.75	Chr09	miss50
PI533755_PI533755	-118916.99434929987	12300	25%	-3.75	Chr09	miss50
PI533757_PI533757	-143832.55063729954	14056	25%	-3.75	Chr09	miss50
PI533758_PI533758	-124232.74956159969	12265	25%	-3.75	Chr09	miss50
PI533759_PI533759	-125433.97724240005	12222	25%	-3.75	Chr09	miss50
PI533760_PI533760	-137054.71506429958	13418	25%	-3.75	Chr09	miss50
PI533761_PI533761	-121211.59226300026	11849	25%	-3.75	Chr09	miss50
PI533762_PI533762	-107502.39692419977	14542	25%	-3.75	Chr09	miss50
PI533766_PI533766	-134790.29568549985	13369	25%	-3.75	Chr09	miss50
PI533769_PI533769	-120449.39240569995	11880	25%	-3.75	Chr09	miss50
PI533776_PI533776	-114783.21245809985	11453	25%	-3.75	Chr09	miss50
PI533785_PI533785	-85738.8126809001	8685	25%	-3.75	Chr09	miss50
PI533788_PI533788	-144117.1008078004	14235	25%	-3.75	Chr09	miss50
PI533789_PI533789	-119530.27497930021	11784	25%	-3.75	Chr09	miss50
PI533792_PI533792	-126384.64535479991	12482	25%	-3.75	Chr09	miss50
PI533794_PI533794	-148010.94014239952	14383	25%	-3.75	Chr09	miss50
