sample	Genetic_load	N_del	cutoff	cutoff_score	chr	miss
PI152651_PI152651	-168932.63532810027	16794	25%	-3.8300781	Chr04	miss50
PI17548_PI17548	-201724.02163630052	19864	25%	-3.8300781	Chr04	miss50
PI24969_PI24969	-181993.8345477008	17892	25%	-3.8300781	Chr04	miss50
PI276837_PI276837	-182506.93519109997	18098	25%	-3.8300781	Chr04	miss50
PI329435_PI329435	-183990.30852830037	18474	25%	-3.8300781	Chr04	miss50
PI329440_PI329440	-212181.75858600053	20386	25%	-3.8300781	Chr04	miss50
PI34911_PI34911	-181770.0430108995	17521	25%	-3.8300781	Chr04	miss50
PI35038_PI35038	-200862.00171840118	19795	25%	-3.8300781	Chr04	miss50
PI48770_PI48770	-203789.15852810058	23861	25%	-3.8300781	Chr04	miss50
PI533750_PI533750	-174714.6710829006	17075	25%	-3.8300781	Chr04	miss50
PI533752_PI533752	-191953.21821940006	18455	25%	-3.8300781	Chr04	miss50
PI533754_PI533754	-154962.8588675999	15499	25%	-3.8300781	Chr04	miss50
PI533755_PI533755	-169204.26218790066	17539	25%	-3.8300781	Chr04	miss50
PI533757_PI533757	-185354.36420919982	17931	25%	-3.8300781	Chr04	miss50
PI533758_PI533758	-183349.7000552005	17735	25%	-3.8300781	Chr04	miss50
PI533759_PI533759	-181825.07685899953	17430	25%	-3.8300781	Chr04	miss50
PI533760_PI533760	-181246.39444220063	17565	25%	-3.8300781	Chr04	miss50
PI533761_PI533761	-193236.03071639984	18554	25%	-3.8300781	Chr04	miss50
PI533762_PI533762	-206072.73494599925	25332	25%	-3.8300781	Chr04	miss50
PI533766_PI533766	-65638.5076700001	6705	25%	-3.8300781	Chr04	miss50
PI533769_PI533769	-90889.58571779987	9042	25%	-3.8300781	Chr04	miss50
PI533776_PI533776	-181316.95082310052	18256	25%	-3.8300781	Chr04	miss50
PI533785_PI533785	-174563.2717194005	17747	25%	-3.8300781	Chr04	miss50
PI533788_PI533788	-192799.8362716005	19172	25%	-3.8300781	Chr04	miss50
PI533789_PI533789	-192283.0243717999	18537	25%	-3.8300781	Chr04	miss50
PI533792_PI533792	-178028.32074059997	17349	25%	-3.8300781	Chr04	miss50
PI533794_PI533794	-179687.77272729974	17406	25%	-3.8300781	Chr04	miss50
PI533799_PI533799	-183339.30276870012	17664	25%	-3.8300781	Chr04	miss50
PI533800_PI533800	-176558.3958144001	17467	25%	-3.8300781	Chr04	miss50
PI533807_PI533807	-106425.66031719984	10514	25%	-3.8300781	Chr04	miss50
PI533810_PI533810	-175936.13306900073	17306	25%	-3.8300781	Chr04	miss50
PI533814_PI533814	-195575.77614800085	19397	25%	-3.8300781	Chr04	miss50
PI533821_PI533821	-198015.6863433997	19003	25%	-3.8300781	Chr04	miss50
PI533822_PI533822	-182254.10633470048	17789	25%	-3.8300781	Chr04	miss50
PI533824_PI533824	-139991.5844123999	13769	25%	-3.8300781	Chr04	miss50
PI533830_PI533830	-193869.7691082995	32945	25%	-3.8300781	Chr04	miss50
PI533831_PI533831	-178758.7014295002	17628	25%	-3.8300781	Chr04	miss50
PI533833_PI533833	-106113.94246709993	10404	25%	-3.8300781	Chr04	miss50
PI533838_PI533838	-178328.93753550018	17735	25%	-3.8300781	Chr04	miss50
PI533839_PI533839	-69826.55998580006	7252	25%	-3.8300781	Chr04	miss50
PI533841_PI533841	-183708.6024349003	17837	25%	-3.8300781	Chr04	miss50
PI533842_PI533842	-178831.95861820056	17687	25%	-3.8300781	Chr04	miss50
PI533843_PI533843	-184833.33880710014	17944	25%	-3.8300781	Chr04	miss50
PI533845_PI533845	-183790.52217110034	17934	25%	-3.8300781	Chr04	miss50
PI533852_PI533852	-171428.4088724003	17521	25%	-3.8300781	Chr04	miss50
PI533855_PI533855	-174298.39389489932	24062	25%	-3.8300781	Chr04	miss50
PI533856_PI533856	-175962.17710670034	17286	25%	-3.8300781	Chr04	miss50
PI533863_PI533863	-180281.4852935998	17502	25%	-3.8300781	Chr04	miss50
PI533866_PI533866	-194284.92614280034	18662	25%	-3.8300781	Chr04	miss50
PI533869_PI533869	-182112.02270239976	17743	25%	-3.8300781	Chr04	miss50
PI533871_PI533871	-173615.81870160022	17068	25%	-3.8300781	Chr04	miss50
PI533876_PI533876	-144915.60081210057	23369	25%	-3.8300781	Chr04	miss50
PI533877_PI533877	-170562.93380779953	17843	25%	-3.8300781	Chr04	miss50
PI533878_PI533878	-178867.73712480045	18539	25%	-3.8300781	Chr04	miss50
PI533882_PI533882	-172518.5860065004	17212	25%	-3.8300781	Chr04	miss50
PI533901_PI533901	-183176.80326670033	17875	25%	-3.8300781	Chr04	miss50
PI533902_PI533902	-144428.71725460017	14523	25%	-3.8300781	Chr04	miss50
PI533903_PI533903	-138815.40640899987	13728	25%	-3.8300781	Chr04	miss50
PI533910_PI533910	-189824.71291820024	18461	25%	-3.8300781	Chr04	miss50
PI533911_PI533911	-189093.98648179983	18500	25%	-3.8300781	Chr04	miss50
PI533912_PI533912	-98780.41868259998	9829	25%	-3.8300781	Chr04	miss50
PI533913_PI533913	-194604.85221360018	18856	25%	-3.8300781	Chr04	miss50
PI533915_PI533915	-197712.4974033001	19009	25%	-3.8300781	Chr04	miss50
PI533919_PI533919	-142959.70297920032	14239	25%	-3.8300781	Chr04	miss50
PI533921_PI533921	-178081.29437700013	17622	25%	-3.8300781	Chr04	miss50
PI533924_PI533924	-141423.71753149992	14028	25%	-3.8300781	Chr04	miss50
PI533927_PI533927	-183251.5129607995	17927	25%	-3.8300781	Chr04	miss50
PI533936_PI533936	-205102.11927830087	20035	25%	-3.8300781	Chr04	miss50
PI533937_PI533937	-204576.15080470103	19955	25%	-3.8300781	Chr04	miss50
PI533938_PI533938	-176222.91748939987	17337	25%	-3.8300781	Chr04	miss50
PI533939_PI533939	-199039.1531162002	21041	25%	-3.8300781	Chr04	miss50
PI533940_PI533940	-202987.3603048011	19780	25%	-3.8300781	Chr04	miss50
PI533943_PI533943	-196285.533146901	19515	25%	-3.8300781	Chr04	miss50
PI533948_PI533948	-209697.16870400027	20060	25%	-3.8300781	Chr04	miss50
PI533949_PI533949	-172665.47733450035	16620	25%	-3.8300781	Chr04	miss50
PI533954_PI533954	-196958.5477567004	18934	25%	-3.8300781	Chr04	miss50
PI533955_PI533955	-205649.64526320127	20024	25%	-3.8300781	Chr04	miss50
PI533956_PI533956	-178740.4715889002	17345	25%	-3.8300781	Chr04	miss50
PI533957_PI533957	-196407.87308459994	18923	25%	-3.8300781	Chr04	miss50
PI533961_PI533961	-181743.84398899964	17549	25%	-3.8300781	Chr04	miss50
PI533962_PI533962	-178208.45539469967	17402	25%	-3.8300781	Chr04	miss50
PI533964_PI533964	-182369.9881137005	17566	25%	-3.8300781	Chr04	miss50
PI533965_PI533965	-182305.80625160082	17769	25%	-3.8300781	Chr04	miss50
PI533967_PI533967	-184790.82890780034	18152	25%	-3.8300781	Chr04	miss50
PI533970_PI533970	-196155.8976869999	18903	25%	-3.8300781	Chr04	miss50
PI533972_PI533972	-183230.012741701	17829	25%	-3.8300781	Chr04	miss50
PI533976_PI533976	-190896.77407510023	18542	25%	-3.8300781	Chr04	miss50
PI533979_PI533979	-211251.3020738003	20272	25%	-3.8300781	Chr04	miss50
PI533980_PI533980	-181290.3561368002	17533	25%	-3.8300781	Chr04	miss50
PI533985_PI533985	-185576.7645904004	17939	25%	-3.8300781	Chr04	miss50
PI533986_PI533986	-192695.20221980018	18513	25%	-3.8300781	Chr04	miss50
PI533987_PI533987	-182086.13257240015	17625	25%	-3.8300781	Chr04	miss50
PI533989_PI533989	-185824.9520444005	19373	25%	-3.8300781	Chr04	miss50
PI533991_PI533991	-177527.48401310024	17263	25%	-3.8300781	Chr04	miss50
PI533996_PI533996	-191980.70222140002	18572	25%	-3.8300781	Chr04	miss50
PI533997_PI533997	-177592.8704368002	17907	25%	-3.8300781	Chr04	miss50
PI534009_PI534009	-196045.519303001	19499	25%	-3.8300781	Chr04	miss50
PI534021_PI534021	-179095.6827189004	17712	25%	-3.8300781	Chr04	miss50
PI534028_PI534028	-186778.83950660028	18394	25%	-3.8300781	Chr04	miss50
PI534037_PI534037	-191578.05833269973	18457	25%	-3.8300781	Chr04	miss50
PI534046_PI534046	-182889.5251819003	17734	25%	-3.8300781	Chr04	miss50
PI534047_PI534047	-189987.30293440013	18460	25%	-3.8300781	Chr04	miss50
PI534053_PI534053	-179525.26129569992	17482	25%	-3.8300781	Chr04	miss50
PI534054_PI534054	-200145.96571119982	19245	25%	-3.8300781	Chr04	miss50
PI534063_PI534063	-173979.69073430006	17113	25%	-3.8300781	Chr04	miss50
PI534070_PI534070	-170591.91911209997	16728	25%	-3.8300781	Chr04	miss50
PI534075_PI534075	-179110.65697430016	18045	25%	-3.8300781	Chr04	miss50
PI534079_PI534079	-176663.02786940086	17424	25%	-3.8300781	Chr04	miss50
PI534088_PI534088	-176821.73589770016	17415	25%	-3.8300781	Chr04	miss50
PI534092_PI534092	-174306.39186749942	17833	25%	-3.8300781	Chr04	miss50
PI534096_PI534096	-51165.729434299996	5287	25%	-3.8300781	Chr04	miss50
PI534097_PI534097	-203213.8048143004	19971	25%	-3.8300781	Chr04	miss50
PI534099_PI534099	-181703.75656629947	17572	25%	-3.8300781	Chr04	miss50
PI534101_PI534101	-98771.53491160012	12384	25%	-3.8300781	Chr04	miss50
PI534105_PI534105	-184756.8538177004	17782	25%	-3.8300781	Chr04	miss50
PI534108_PI534108	-178059.64643780023	17651	25%	-3.8300781	Chr04	miss50
PI534112_PI534112	-180244.31556349967	25330	25%	-3.8300781	Chr04	miss50
PI534114_PI534114	-179349.90334680042	17339	25%	-3.8300781	Chr04	miss50
PI534115_PI534115	-183345.5628802001	17645	25%	-3.8300781	Chr04	miss50
PI534116_PI534116	-138852.15236530002	13736	25%	-3.8300781	Chr04	miss50
PI534117_PI534117	-200886.20707449937	19370	25%	-3.8300781	Chr04	miss50
PI534123_PI534123	-151003.46409930012	14758	25%	-3.8300781	Chr04	miss50
PI534124_PI534124	-149899.21655799987	15452	25%	-3.8300781	Chr04	miss50
PI534127_PI534127	-170484.53312460022	16834	25%	-3.8300781	Chr04	miss50
PI534128_PI534128	-170802.91247140057	16900	25%	-3.8300781	Chr04	miss50
PI534132_PI534132	-171184.57098890052	17043	25%	-3.8300781	Chr04	miss50
PI534133_PI534133	-174074.6993336009	17072	25%	-3.8300781	Chr04	miss50
PI534135_PI534135	-178999.89663360067	17395	25%	-3.8300781	Chr04	miss50
PI534137_PI534137	-176860.27080030035	17390	25%	-3.8300781	Chr04	miss50
PI534138_PI534138	-89740.47044690007	9032	25%	-3.8300781	Chr04	miss50
PI534139_PI534139	-196134.98899550087	18915	25%	-3.8300781	Chr04	miss50
PI534144_PI534144	-190044.0679503998	18373	25%	-3.8300781	Chr04	miss50
PI534145_PI534145	-71704.78735540005	7220	25%	-3.8300781	Chr04	miss50
PI534148_PI534148	-173775.0307521003	17047	25%	-3.8300781	Chr04	miss50
PI534155_PI534155	-173707.53891930068	17697	25%	-3.8300781	Chr04	miss50
PI534157_PI534157	-179700.52000659955	23259	25%	-3.8300781	Chr04	miss50
PI534163_PI534163	-186856.9704809002	18408	25%	-3.8300781	Chr04	miss50
PI534167_PI534167	-175387.0194462003	17148	25%	-3.8300781	Chr04	miss50
PI540816_PI540816	-182391.0739920004	17891	25%	-3.8300781	Chr04	miss50
PI542406_PI542406	-71382.94365620005	7272	25%	-3.8300781	Chr04	miss50
PI542718_PI542718	-200114.28772470073	19550	25%	-3.8300781	Chr04	miss50
PI548797_PI548797	-180810.473507	17616	25%	-3.8300781	Chr04	miss50
PI552856_PI552856	-185132.98875090035	17814	25%	-3.8300781	Chr04	miss50
PI552861_PI552861	-192679.86155160028	18643	25%	-3.8300781	Chr04	miss50
PI561071_PI561071	-174843.24278480068	17088	25%	-3.8300781	Chr04	miss50
PI561072_PI561072	-207242.2332837006	19849	25%	-3.8300781	Chr04	miss50
PI561073_PI561073	-184033.4446214005	18500	25%	-3.8300781	Chr04	miss50
PI561472_PI561472	-178342.8537019005	18303	25%	-3.8300781	Chr04	miss50
PI562730_PI562730	-137219.71176599982	13550	25%	-3.8300781	Chr04	miss50
PI564163_PI564163	-203348.7765584999	19849	25%	-3.8300781	Chr04	miss50
PI564164_PI564164	-182253.95325670048	19823	25%	-3.8300781	Chr04	miss50
PI564165_PI564165	-188953.09779480068	18440	25%	-3.8300781	Chr04	miss50
PI565121_PI565121	-184982.36423990037	17750	25%	-3.8300781	Chr04	miss50
PI566819_PI566819	-202735.96306010053	19784	25%	-3.8300781	Chr04	miss50
PI576130_PI576130	-183328.8747320999	17758	25%	-3.8300781	Chr04	miss50
PI576332_PI576332	-207830.62835500043	19948	25%	-3.8300781	Chr04	miss50
PI576333_PI576333	-205113.03400730103	20029	25%	-3.8300781	Chr04	miss50
PI576337_PI576337	-147666.20909550006	19857	25%	-3.8300781	Chr04	miss50
PI576339_PI576339	-195847.41426680118	19086	25%	-3.8300781	Chr04	miss50
PI576340_PI576340	-204859.1307975013	19926	25%	-3.8300781	Chr04	miss50
PI576345_PI576345	-203786.33765230144	19777	25%	-3.8300781	Chr04	miss50
PI576347_PI576347	-127643.64652529993	21299	25%	-3.8300781	Chr04	miss50
PI576348_PI576348	-65411.81354400002	7589	25%	-3.8300781	Chr04	miss50
PI576349_PI576349	-65461.97374029999	6674	25%	-3.8300781	Chr04	miss50
PI576350_PI576350	-134802.00858830006	21534	25%	-3.8300781	Chr04	miss50
PI576352_PI576352	-204770.79657090106	19964	25%	-3.8300781	Chr04	miss50
PI576359_PI576359	-183196.38498330038	17837	25%	-3.8300781	Chr04	miss50
PI576364_PI576364	-205602.20833950143	20089	25%	-3.8300781	Chr04	miss50
PI576366_PI576366	-200290.980862001	19544	25%	-3.8300781	Chr04	miss50
PI576373_PI576373	-173824.63912260058	16915	25%	-3.8300781	Chr04	miss50
PI576375_PI576375	-172488.08415340033	16992	25%	-3.8300781	Chr04	miss50
