sample	Genetic_load	N_del	cutoff	cutoff_score	chr	miss
PI152651_PI152651	-43337.96166210006	4513	25%	-3.703674325	Chr07	miss50
PI17548_PI17548	-135828.4026443002	13657	25%	-3.703674325	Chr07	miss50
PI24969_PI24969	-204375.53445299924	20835	25%	-3.703674325	Chr07	miss50
PI276837_PI276837	-163637.37363639983	16693	25%	-3.703674325	Chr07	miss50
PI329435_PI329435	-32808.58246540001	3563	25%	-3.703674325	Chr07	miss50
PI329440_PI329440	-36559.833504100105	3649	25%	-3.703674325	Chr07	miss50
PI34911_PI34911	-181976.10527590074	18203	25%	-3.703674325	Chr07	miss50
PI35038_PI35038	-29410.690516099974	2992	25%	-3.703674325	Chr07	miss50
PI48770_PI48770	-30053.128094200012	3719	25%	-3.703674325	Chr07	miss50
PI533750_PI533750	-58546.06252909999	5901	25%	-3.703674325	Chr07	miss50
PI533752_PI533752	-182376.9548514008	18007	25%	-3.703674325	Chr07	miss50
PI533754_PI533754	-30981.61741779999	3365	25%	-3.703674325	Chr07	miss50
PI533755_PI533755	-43340.13478120001	4723	25%	-3.703674325	Chr07	miss50
PI533757_PI533757	-60514.1497817	6073	25%	-3.703674325	Chr07	miss50
PI533758_PI533758	-62405.3310991	6264	25%	-3.703674325	Chr07	miss50
PI533759_PI533759	-183150.964391001	17958	25%	-3.703674325	Chr07	miss50
PI533760_PI533760	-192817.7337456002	19107	25%	-3.703674325	Chr07	miss50
PI533761_PI533761	-54161.32525020003	5433	25%	-3.703674325	Chr07	miss50
PI533762_PI533762	-35125.001688700126	4544	25%	-3.703674325	Chr07	miss50
PI533766_PI533766	-27157.392275200014	2822	25%	-3.703674325	Chr07	miss50
PI533769_PI533769	-163917.93841860053	16349	25%	-3.703674325	Chr07	miss50
PI533776_PI533776	-33416.0737095	3522	25%	-3.703674325	Chr07	miss50
PI533785_PI533785	-31691.614805300007	3342	25%	-3.703674325	Chr07	miss50
PI533788_PI533788	-50386.52711689992	5183	25%	-3.703674325	Chr07	miss50
PI533789_PI533789	-41269.180835000065	4214	25%	-3.703674325	Chr07	miss50
PI533792_PI533792	-164353.01077259998	16120	25%	-3.703674325	Chr07	miss50
PI533794_PI533794	-61935.40208469997	6140	25%	-3.703674325	Chr07	miss50
PI533799_PI533799	-59618.88904979992	5919	25%	-3.703674325	Chr07	miss50
PI533800_PI533800	-60868.96751040006	6195	25%	-3.703674325	Chr07	miss50
PI533807_PI533807	-57041.81327690007	5777	25%	-3.703674325	Chr07	miss50
PI533810_PI533810	-203300.5059401001	20605	25%	-3.703674325	Chr07	miss50
PI533814_PI533814	-49215.73860029997	5026	25%	-3.703674325	Chr07	miss50
PI533821_PI533821	-28485.71286350003	2907	25%	-3.703674325	Chr07	miss50
PI533822_PI533822	-184637.78210390068	18455	25%	-3.703674325	Chr07	miss50
PI533824_PI533824	-71508.58062080001	7266	25%	-3.703674325	Chr07	miss50
PI533830_PI533830	-203795.2295455992	20952	25%	-3.703674325	Chr07	miss50
PI533831_PI533831	-177746.52228920086	17974	25%	-3.703674325	Chr07	miss50
PI533833_PI533833	-55830.442041600116	5656	25%	-3.703674325	Chr07	miss50
