sample	Genetic_load	N_del	cutoff	cutoff_score	chr	miss
PI152651_PI152651	-171436.28200580023	18364	25%	-3.1981201	Chr03	miss50
PI17548_PI17548	-74842.63296839985	8295	25%	-3.1981201	Chr03	miss50
PI24969_PI24969	-226560.73469280085	24322	25%	-3.1981201	Chr03	miss50
PI276837_PI276837	-113308.57119020009	12598	25%	-3.1981201	Chr03	miss50
PI329435_PI329435	-76217.30362289981	8501	25%	-3.1981201	Chr03	miss50
PI329440_PI329440	-76910.99528820011	8364	25%	-3.1981201	Chr03	miss50
PI34911_PI34911	-73283.01323630003	8031	25%	-3.1981201	Chr03	miss50
PI35038_PI35038	-76525.10238159988	8435	25%	-3.1981201	Chr03	miss50
PI48770_PI48770	-78957.56950009974	11412	25%	-3.1981201	Chr03	miss50
PI533750_PI533750	-226014.77789290034	24080	25%	-3.1981201	Chr03	miss50
PI533752_PI533752	-75246.36963050005	8225	25%	-3.1981201	Chr03	miss50
PI533754_PI533754	-207755.66393910043	23328	25%	-3.1981201	Chr03	miss50
PI533755_PI533755	-209973.83522519923	23165	25%	-3.1981201	Chr03	miss50
PI533757_PI533757	-75960.65407570015	8325	25%	-3.1981201	Chr03	miss50
PI533758_PI533758	-72313.07653570003	7863	25%	-3.1981201	Chr03	miss50
PI533759_PI533759	-70515.09726039987	7621	25%	-3.1981201	Chr03	miss50
PI533760_PI533760	-74743.74513130003	8166	25%	-3.1981201	Chr03	miss50
PI533761_PI533761	-74937.21218449995	8146	25%	-3.1981201	Chr03	miss50
PI533762_PI533762	-195974.12316650047	26255	25%	-3.1981201	Chr03	miss50
PI533766_PI533766	-185551.86113800152	19984	25%	-3.1981201	Chr03	miss50
PI533769_PI533769	-75077.07356049992	8275	25%	-3.1981201	Chr03	miss50
PI533776_PI533776	-219450.3370656005	23791	25%	-3.1981201	Chr03	miss50
PI533785_PI533785	-215189.15799250113	23343	25%	-3.1981201	Chr03	miss50
PI533788_PI533788	-206872.9218247009	22137	25%	-3.1981201	Chr03	miss50
PI533789_PI533789	-182465.7526587999	19491	25%	-3.1981201	Chr03	miss50
PI533792_PI533792	-218196.95267250034	23442	25%	-3.1981201	Chr03	miss50
PI533794_PI533794	-74589.29834989998	8089	25%	-3.1981201	Chr03	miss50
PI533799_PI533799	-74555.7191848	8086	25%	-3.1981201	Chr03	miss50
PI533800_PI533800	-74239.95452099993	8234	25%	-3.1981201	Chr03	miss50
PI533807_PI533807	-205151.91670720026	21798	25%	-3.1981201	Chr03	miss50
PI533810_PI533810	-78020.80274379994	8730	25%	-3.1981201	Chr03	miss50
PI533814_PI533814	-223114.21707880017	23874	25%	-3.1981201	Chr03	miss50
PI533821_PI533821	-73755.35572680009	8010	25%	-3.1981201	Chr03	miss50
PI533822_PI533822	-70866.2274790999	7833	25%	-3.1981201	Chr03	miss50
PI533824_PI533824	-87257.77069949974	9768	25%	-3.1981201	Chr03	miss50
PI533830_PI533830	-134885.28545769988	25879	25%	-3.1981201	Chr03	miss50
PI533831_PI533831	-69924.69078589979	7773	25%	-3.1981201	Chr03	miss50
PI533833_PI533833	-74797.65343229992	8094	25%	-3.1981201	Chr03	miss50
PI533838_PI533838	-205145.41195340082	22201	25%	-3.1981201	Chr03	miss50
PI533839_PI533839	-52037.20270449996	6174	25%	-3.1981201	Chr03	miss50
PI533841_PI533841	-135006.1851243997	14682	25%	-3.1981201	Chr03	miss50
PI533842_PI533842	-76404.07011430005	8469	25%	-3.1981201	Chr03	miss50
PI533843_PI533843	-67720.00395479998	7546	25%	-3.1981201	Chr03	miss50
PI533845_PI533845	-109706.38794839977	12290	25%	-3.1981201	Chr03	miss50
PI533852_PI533852	-66757.90693359991	7780	25%	-3.1981201	Chr03	miss50
PI533855_PI533855	-85713.63268360007	13119	25%	-3.1981201	Chr03	miss50
PI533856_PI533856	-74832.68353329985	8285	25%	-3.1981201	Chr03	miss50
PI533863_PI533863	-209983.72873490112	22307	25%	-3.1981201	Chr03	miss50
PI533866_PI533866	-119368.73134779984	13046	25%	-3.1981201	Chr03	miss50
PI533869_PI533869	-106915.97679059998	11841	25%	-3.1981201	Chr03	miss50
PI533871_PI533871	-73032.71548209999	7976	25%	-3.1981201	Chr03	miss50
PI533876_PI533876	-71824.34469159988	12258	25%	-3.1981201	Chr03	miss50
PI533877_PI533877	-119993.63041190032	16079	25%	-3.1981201	Chr03	miss50
PI533878_PI533878	-225627.08823300083	24429	25%	-3.1981201	Chr03	miss50
PI533882_PI533882	-104557.48001459993	11585	25%	-3.1981201	Chr03	miss50
PI533901_PI533901	-77442.50645089996	8551	25%	-3.1981201	Chr03	miss50
PI533902_PI533902	-73331.76814659998	8157	25%	-3.1981201	Chr03	miss50
PI533903_PI533903	-88467.72029839967	9953	25%	-3.1981201	Chr03	miss50
PI533910_PI533910	-74261.94382309997	8346	25%	-3.1981201	Chr03	miss50
PI533911_PI533911	-211038.81926330092	23006	25%	-3.1981201	Chr03	miss50
PI533912_PI533912	-67982.19039029993	7522	25%	-3.1981201	Chr03	miss50
PI533913_PI533913	-106372.09413370011	11797	25%	-3.1981201	Chr03	miss50
PI533915_PI533915	-67390.1786202	7443	25%	-3.1981201	Chr03	miss50
PI533919_PI533919	-85190.74565919982	9793	25%	-3.1981201	Chr03	miss50
PI533921_PI533921	-213735.60145360068	23333	25%	-3.1981201	Chr03	miss50
PI533924_PI533924	-87906.19366239989	9920	25%	-3.1981201	Chr03	miss50
PI533927_PI533927	-108072.94694429969	11995	25%	-3.1981201	Chr03	miss50
PI533936_PI533936	-74722.65684519983	8149	25%	-3.1981201	Chr03	miss50
PI533937_PI533937	-73283.22892689978	8039	25%	-3.1981201	Chr03	miss50
PI533938_PI533938	-200651.51014920085	21668	25%	-3.1981201	Chr03	miss50
PI533939_PI533939	-68439.10983419987	7481	25%	-3.1981201	Chr03	miss50
PI533940_PI533940	-74544.90944749983	8122	25%	-3.1981201	Chr03	miss50
PI533943_PI533943	-72303.48293580001	8087	25%	-3.1981201	Chr03	miss50
PI533948_PI533948	-76429.7961483999	8256	25%	-3.1981201	Chr03	miss50
PI533949_PI533949	-73691.4471299999	8006	25%	-3.1981201	Chr03	miss50
PI533954_PI533954	-217550.8066696008	23151	25%	-3.1981201	Chr03	miss50
PI533955_PI533955	-76932.39639299996	8338	25%	-3.1981201	Chr03	miss50
PI533956_PI533956	-104414.76785999941	11509	25%	-3.1981201	Chr03	miss50
PI533957_PI533957	-107027.91873279978	11835	25%	-3.1981201	Chr03	miss50
PI533961_PI533961	-75467.75237379981	8591	25%	-3.1981201	Chr03	miss50
PI533962_PI533962	-73871.89920429992	8122	25%	-3.1981201	Chr03	miss50
PI533964_PI533964	-74421.82016459994	8104	25%	-3.1981201	Chr03	miss50
PI533965_PI533965	-171179.3037962003	18375	25%	-3.1981201	Chr03	miss50
PI533967_PI533967	-76157.0016832	8416	25%	-3.1981201	Chr03	miss50
PI533970_PI533970	-75162.5843476002	8229	25%	-3.1981201	Chr03	miss50
PI533972_PI533972	-74575.31136129986	8137	25%	-3.1981201	Chr03	miss50
PI533976_PI533976	-74970.5838075001	8394	25%	-3.1981201	Chr03	miss50
PI533979_PI533979	-79493.26594899983	8627	25%	-3.1981201	Chr03	miss50
PI533980_PI533980	-70632.06093109975	7738	25%	-3.1981201	Chr03	miss50
PI533985_PI533985	-71145.29758009984	7755	25%	-3.1981201	Chr03	miss50
PI533986_PI533986	-75763.90507669997	8271	25%	-3.1981201	Chr03	miss50
PI533987_PI533987	-65502.30351169985	7161	25%	-3.1981201	Chr03	miss50
PI533989_PI533989	-74878.13548009997	8637	25%	-3.1981201	Chr03	miss50
PI533991_PI533991	-75003.57090369983	8185	25%	-3.1981201	Chr03	miss50
PI533996_PI533996	-67775.11796689987	7540	25%	-3.1981201	Chr03	miss50
PI533997_PI533997	-68243.14679509976	7707	25%	-3.1981201	Chr03	miss50
PI534009_PI534009	-219943.61711890038	23626	25%	-3.1981201	Chr03	miss50
PI534021_PI534021	-76150.98673780003	8447	25%	-3.1981201	Chr03	miss50
PI534028_PI534028	-75065.44305860002	8450	25%	-3.1981201	Chr03	miss50
PI534037_PI534037	-212695.75249680082	22829	25%	-3.1981201	Chr03	miss50
PI534046_PI534046	-69742.5501873	7676	25%	-3.1981201	Chr03	miss50
PI534047_PI534047	-69531.63866309999	7728	25%	-3.1981201	Chr03	miss50
PI534053_PI534053	-70270.82477679993	7732	25%	-3.1981201	Chr03	miss50
PI534054_PI534054	-71824.93931309975	7921	25%	-3.1981201	Chr03	miss50
PI534063_PI534063	-136761.61279099958	14837	25%	-3.1981201	Chr03	miss50
PI534070_PI534070	-222341.07813910086	23662	25%	-3.1981201	Chr03	miss50
PI534075_PI534075	-111674.04696510013	12621	25%	-3.1981201	Chr03	miss50
PI534079_PI534079	-130095.98557320004	14246	25%	-3.1981201	Chr03	miss50
PI534088_PI534088	-120784.62581530004	13223	25%	-3.1981201	Chr03	miss50
PI534092_PI534092	-227748.6552452	24826	25%	-3.1981201	Chr03	miss50
PI534096_PI534096	-49979.77387729992	5929	25%	-3.1981201	Chr03	miss50
PI534097_PI534097	-74955.01259619987	8210	25%	-3.1981201	Chr03	miss50
PI534099_PI534099	-71896.2894853	8013	25%	-3.1981201	Chr03	miss50
PI534101_PI534101	-75791.17822950019	10947	25%	-3.1981201	Chr03	miss50
PI534105_PI534105	-73351.84176559986	8002	25%	-3.1981201	Chr03	miss50
PI534108_PI534108	-74652.45564099982	8233	25%	-3.1981201	Chr03	miss50
PI534112_PI534112	-88552.22267770002	14206	25%	-3.1981201	Chr03	miss50
PI534114_PI534114	-74968.58699640003	8181	25%	-3.1981201	Chr03	miss50
PI534115_PI534115	-75315.04195499996	8310	25%	-3.1981201	Chr03	miss50
PI534116_PI534116	-86391.04484209984	9746	25%	-3.1981201	Chr03	miss50
PI534117_PI534117	-107791.31271919969	11956	25%	-3.1981201	Chr03	miss50
PI534123_PI534123	-86827.37412429982	9642	25%	-3.1981201	Chr03	miss50
PI534124_PI534124	-87595.0274195997	9942	25%	-3.1981201	Chr03	miss50
PI534127_PI534127	-150261.51348050064	25655	25%	-3.1981201	Chr03	miss50
PI534128_PI534128	-220980.25198790134	23830	25%	-3.1981201	Chr03	miss50
PI534132_PI534132	-218250.96037200067	24750	25%	-3.1981201	Chr03	miss50
PI534133_PI534133	-222091.5014150015	23755	25%	-3.1981201	Chr03	miss50
PI534135_PI534135	-224915.18142080161	23899	25%	-3.1981201	Chr03	miss50
PI534137_PI534137	-210078.6390385003	22483	25%	-3.1981201	Chr03	miss50
PI534138_PI534138	-64996.23781329996	7284	25%	-3.1981201	Chr03	miss50
PI534139_PI534139	-139285.11045019995	15098	25%	-3.1981201	Chr03	miss50
PI534144_PI534144	-107502.21247849968	12192	25%	-3.1981201	Chr03	miss50
PI534145_PI534145	-127250.13669619983	13848	25%	-3.1981201	Chr03	miss50
PI534148_PI534148	-77217.90213169981	8572	25%	-3.1981201	Chr03	miss50
PI534155_PI534155	-74854.05804809993	8531	25%	-3.1981201	Chr03	miss50
PI534157_PI534157	-117024.51297530024	17034	25%	-3.1981201	Chr03	miss50
PI534163_PI534163	-74648.47770119995	8299	25%	-3.1981201	Chr03	miss50
PI534167_PI534167	-217283.89872630016	23249	25%	-3.1981201	Chr03	miss50
PI540816_PI540816	-76222.31126609999	8374	25%	-3.1981201	Chr03	miss50
PI542406_PI542406	-76245.65115379992	8535	25%	-3.1981201	Chr03	miss50
