sample	Genetic_load	N_del	cutoff	cutoff_score	chr	miss
PI152651_PI152651	-181890.77104769935	19445	25%	-3.4990234	Chr01	miss50
PI17548_PI17548	-152889.44491549995	15596	25%	-3.4990234	Chr01	miss50
PI24969_PI24969	-195993.87822339978	20312	25%	-3.4990234	Chr01	miss50
PI276837_PI276837	-164955.07637829907	17248	25%	-3.4990234	Chr01	miss50
PI329435_PI329435	-183929.76494910035	19668	25%	-3.4990234	Chr01	miss50
PI329440_PI329440	-194155.2095868997	19989	25%	-3.4990234	Chr01	miss50
PI34911_PI34911	-133128.88933889972	13804	25%	-3.4990234	Chr01	miss50
PI35038_PI35038	-151285.9105671003	15351	25%	-3.4990234	Chr01	miss50
PI48770_PI48770	-152282.1244355997	17528	25%	-3.4990234	Chr01	miss50
PI533750_PI533750	-167511.71447939964	17245	25%	-3.4990234	Chr01	miss50
PI533752_PI533752	-112768.52406770004	11669	25%	-3.4990234	Chr01	miss50
PI533754_PI533754	-149741.45358419954	16079	25%	-3.4990234	Chr01	miss50
PI533755_PI533755	-182769.88470669932	19842	25%	-3.4990234	Chr01	miss50
PI533757_PI533757	-158196.29831289928	16179	25%	-3.4990234	Chr01	miss50
PI533758_PI533758	-160401.09052169978	16358	25%	-3.4990234	Chr01	miss50
PI533759_PI533759	-152191.6457023997	15442	25%	-3.4990234	Chr01	miss50
PI533760_PI533760	-160192.4632878998	16374	25%	-3.4990234	Chr01	miss50
PI533761_PI533761	-178827.9641022998	18230	25%	-3.4990234	Chr01	miss50
PI533762_PI533762	-168960.23338749926	24786	25%	-3.4990234	Chr01	miss50
PI533766_PI533766	-153543.3646890003	15782	25%	-3.4990234	Chr01	miss50
PI533769_PI533769	-161479.14073940017	16657	25%	-3.4990234	Chr01	miss50
PI533776_PI533776	-128734.38158749977	13361	25%	-3.4990234	Chr01	miss50
PI533785_PI533785	-139642.99162339992	14500	25%	-3.4990234	Chr01	miss50
PI533788_PI533788	-188897.91243330078	19632	25%	-3.4990234	Chr01	miss50
PI533789_PI533789	-119476.54751919972	12417	25%	-3.4990234	Chr01	miss50
PI533792_PI533792	-168576.27150609955	17197	25%	-3.4990234	Chr01	miss50
PI533794_PI533794	-167861.41344839914	17029	25%	-3.4990234	Chr01	miss50
PI533799_PI533799	-167531.55133009897	17023	25%	-3.4990234	Chr01	miss50
PI533800_PI533800	-161407.8781969994	16936	25%	-3.4990234	Chr01	miss50
PI533807_PI533807	-145123.37231419949	14959	25%	-3.4990234	Chr01	miss50
PI533810_PI533810	-180581.82953809985	18666	25%	-3.4990234	Chr01	miss50
PI533814_PI533814	-194341.63375480028	20033	25%	-3.4990234	Chr01	miss50
PI533821_PI533821	-168757.69606219998	17241	25%	-3.4990234	Chr01	miss50
PI533822_PI533822	-182869.15447470007	18916	25%	-3.4990234	Chr01	miss50
PI533824_PI533824	-184441.0606625999	19033	25%	-3.4990234	Chr01	miss50
PI533830_PI533830	-194305.18776979946	32164	25%	-3.4990234	Chr01	miss50
PI533831_PI533831	-183650.6728219003	19317	25%	-3.4990234	Chr01	miss50
PI533833_PI533833	-115908.09251019992	11968	25%	-3.4990234	Chr01	miss50
PI533838_PI533838	-157748.21601809945	16442	25%	-3.4990234	Chr01	miss50
PI533839_PI533839	-78317.55114690008	8446	25%	-3.4990234	Chr01	miss50
PI533841_PI533841	-143740.93607649975	14680	25%	-3.4990234	Chr01	miss50
PI533842_PI533842	-182227.1016358998	19023	25%	-3.4990234	Chr01	miss50
PI533843_PI533843	-164963.9865909	16925	25%	-3.4990234	Chr01	miss50
PI533845_PI533845	-150388.20001160007	15456	25%	-3.4990234	Chr01	miss50
PI533852_PI533852	-152891.2581184994	16531	25%	-3.4990234	Chr01	miss50
PI533855_PI533855	-145029.40738150064	17188	25%	-3.4990234	Chr01	miss50
PI533856_PI533856	-180592.9704465998	18728	25%	-3.4990234	Chr01	miss50
PI533863_PI533863	-156811.58474949945	15849	25%	-3.4990234	Chr01	miss50
PI533866_PI533866	-89084.4702050998	9679	25%	-3.4990234	Chr01	miss50
PI533869_PI533869	-145802.70175360006	14871	25%	-3.4990234	Chr01	miss50
PI533871_PI533871	-181110.4999322003	18649	25%	-3.4990234	Chr01	miss50
PI533876_PI533876	-177799.06694300025	24302	25%	-3.4990234	Chr01	miss50
PI533877_PI533877	-130227.59336400017	16214	25%	-3.4990234	Chr01	miss50
PI533878_PI533878	-92494.28670259989	9986	25%	-3.4990234	Chr01	miss50
PI533882_PI533882	-106045.5508846001	11174	25%	-3.4990234	Chr01	miss50
PI533901_PI533901	-173504.28364839967	17877	25%	-3.4990234	Chr01	miss50
PI533902_PI533902	-156521.6218356994	16766	25%	-3.4990234	Chr01	miss50
PI533903_PI533903	-162757.7731979995	16958	25%	-3.4990234	Chr01	miss50
PI533910_PI533910	-115141.2346959999	12436	25%	-3.4990234	Chr01	miss50
PI533911_PI533911	-159667.0325300995	16854	25%	-3.4990234	Chr01	miss50
PI533912_PI533912	-180919.69083979944	18738	25%	-3.4990234	Chr01	miss50
PI533913_PI533913	-158478.80610749917	16356	25%	-3.4990234	Chr01	miss50
PI533915_PI533915	-175299.5256624996	18092	25%	-3.4990234	Chr01	miss50
PI533919_PI533919	-173728.2413656995	18163	25%	-3.4990234	Chr01	miss50
PI533921_PI533921	-178936.2342097998	18743	25%	-3.4990234	Chr01	miss50
PI533924_PI533924	-152865.92229289978	15921	25%	-3.4990234	Chr01	miss50
PI533927_PI533927	-145906.17540029972	14940	25%	-3.4990234	Chr01	miss50
PI533936_PI533936	-152398.3789301998	15430	25%	-3.4990234	Chr01	miss50
PI533937_PI533937	-152915.87001839952	15488	25%	-3.4990234	Chr01	miss50
PI533938_PI533938	-170604.12509409947	17798	25%	-3.4990234	Chr01	miss50
PI533939_PI533939	-171180.26256349956	17515	25%	-3.4990234	Chr01	miss50
PI533940_PI533940	-154221.17643210018	15562	25%	-3.4990234	Chr01	miss50
PI533943_PI533943	-186554.40492260086	19329	25%	-3.4990234	Chr01	miss50
PI533948_PI533948	-153092.13161709992	15378	25%	-3.4990234	Chr01	miss50
PI533949_PI533949	-156950.48504149955	16007	25%	-3.4990234	Chr01	miss50
PI533954_PI533954	-188681.27529990062	19357	25%	-3.4990234	Chr01	miss50
