sample	Genetic_load	N_del	cutoff	cutoff_score	chr	miss
PI152651_PI152651	-238236.326969399	23159	25%	-3.9614258	Chr06	miss50
PI17548_PI17548	-27570.643561300003	2827	25%	-3.9614258	Chr06	miss50
PI24969_PI24969	-229656.08760019916	22323	25%	-3.9614258	Chr06	miss50
PI276837_PI276837	-259882.3972918987	25251	25%	-3.9614258	Chr06	miss50
PI329435_PI329435	-42387.70610950001	4276	25%	-3.9614258	Chr06	miss50
PI329440_PI329440	-265598.4605555989	25774	25%	-3.9614258	Chr06	miss50
PI34911_PI34911	-256403.26027329834	24804	25%	-3.9614258	Chr06	miss50
PI35038_PI35038	-37286.791732499936	3725	25%	-3.9614258	Chr06	miss50
PI48770_PI48770	-56357.4323986	8196	25%	-3.9614258	Chr06	miss50
PI533750_PI533750	-26015.6029082	2614	25%	-3.9614258	Chr06	miss50
PI533752_PI533752	-24194.14761399999	2399	25%	-3.9614258	Chr06	miss50
PI533754_PI533754	-26270.246250600023	2672	25%	-3.9614258	Chr06	miss50
PI533755_PI533755	-231344.8296740986	23560	25%	-3.9614258	Chr06	miss50
PI533757_PI533757	-28057.16818769999	2808	25%	-3.9614258	Chr06	miss50
PI533758_PI533758	-25502.151790999975	2538	25%	-3.9614258	Chr06	miss50
PI533759_PI533759	-26146.220322199988	2562	25%	-3.9614258	Chr06	miss50
PI533760_PI533760	-31457.06787990001	3142	25%	-3.9614258	Chr06	miss50
PI533761_PI533761	-28593.590195000066	2806	25%	-3.9614258	Chr06	miss50
PI533762_PI533762	-57214.29435899993	9411	25%	-3.9614258	Chr06	miss50
PI533766_PI533766	-27878.020193600012	2747	25%	-3.9614258	Chr06	miss50
PI533769_PI533769	-28897.890663500013	2833	25%	-3.9614258	Chr06	miss50
PI533776_PI533776	-26824.408422100052	2745	25%	-3.9614258	Chr06	miss50
PI533785_PI533785	-22423.594969100006	2280	25%	-3.9614258	Chr06	miss50
PI533788_PI533788	-246650.21612479945	23824	25%	-3.9614258	Chr06	miss50
PI533789_PI533789	-26297.693297299993	2617	25%	-3.9614258	Chr06	miss50
PI533792_PI533792	-27325.965772100004	2707	25%	-3.9614258	Chr06	miss50
PI533794_PI533794	-37862.574103199986	3706	25%	-3.9614258	Chr06	miss50
PI533799_PI533799	-36165.85632859997	3556	25%	-3.9614258	Chr06	miss50
PI533800_PI533800	-248286.91649569932	23928	25%	-3.9614258	Chr06	miss50
PI533807_PI533807	-23788.384378299965	2392	25%	-3.9614258	Chr06	miss50
PI533810_PI533810	-28895.23829310007	2921	25%	-3.9614258	Chr06	miss50
PI533814_PI533814	-23330.893846	2361	25%	-3.9614258	Chr06	miss50
PI533821_PI533821	-24302.481716899987	2413	25%	-3.9614258	Chr06	miss50
PI533822_PI533822	-28362.964030100055	2795	25%	-3.9614258	Chr06	miss50
PI533824_PI533824	-23306.03285079997	2330	25%	-3.9614258	Chr06	miss50
PI533830_PI533830	-27144.311994699998	2818	25%	-3.9614258	Chr06	miss50
PI533831_PI533831	-28374.38711070003	2809	25%	-3.9614258	Chr06	miss50
PI533833_PI533833	-29345.9396751	2891	25%	-3.9614258	Chr06	miss50
PI533838_PI533838	-29382.25006040004	2897	25%	-3.9614258	Chr06	miss50
PI533839_PI533839	-25153.271206000005	2576	25%	-3.9614258	Chr06	miss50
PI533841_PI533841	-24691.79984430003	2466	25%	-3.9614258	Chr06	miss50
PI533842_PI533842	-24436.98949999999	2476	25%	-3.9614258	Chr06	miss50
PI533843_PI533843	-29335.522934100012	2929	25%	-3.9614258	Chr06	miss50
PI533845_PI533845	-25206.487406300035	2581	25%	-3.9614258	Chr06	miss50
PI533852_PI533852	-24014.45924579998	2521	25%	-3.9614258	Chr06	miss50
PI533855_PI533855	-63525.1695604999	10173	25%	-3.9614258	Chr06	miss50
PI533856_PI533856	-230624.96235159916	22466	25%	-3.9614258	Chr06	miss50
PI533863_PI533863	-32881.92750290002	3224	25%	-3.9614258	Chr06	miss50
PI533866_PI533866	-23857.08325379998	2370	25%	-3.9614258	Chr06	miss50
PI533869_PI533869	-28696.518596999995	2806	25%	-3.9614258	Chr06	miss50
PI533871_PI533871	-27996.27218170003	2745	25%	-3.9614258	Chr06	miss50
PI533876_PI533876	-34507.80619630003	5828	25%	-3.9614258	Chr06	miss50
PI533877_PI533877	-67018.59178329995	10503	25%	-3.9614258	Chr06	miss50
PI533878_PI533878	-26965.986728400057	2764	25%	-3.9614258	Chr06	miss50
PI533882_PI533882	-230611.46100319887	22492	25%	-3.9614258	Chr06	miss50
PI533901_PI533901	-248491.6530285004	24172	25%	-3.9614258	Chr06	miss50
PI533902_PI533902	-98927.42343109973	16959	25%	-3.9614258	Chr06	miss50
PI533903_PI533903	-26646.82477349999	2668	25%	-3.9614258	Chr06	miss50
PI533910_PI533910	-26917.689242799966	2737	25%	-3.9614258	Chr06	miss50
PI533911_PI533911	-24528.170452299983	2591	25%	-3.9614258	Chr06	miss50
PI533912_PI533912	-23992.159434499976	2423	25%	-3.9614258	Chr06	miss50
PI533913_PI533913	-33325.494035799995	3357	25%	-3.9614258	Chr06	miss50
PI533915_PI533915	-252563.88085430046	24173	25%	-3.9614258	Chr06	miss50
PI533919_PI533919	-27249.80171550001	2824	25%	-3.9614258	Chr06	miss50
PI533921_PI533921	-229295.85384409953	22872	25%	-3.9614258	Chr06	miss50
PI533924_PI533924	-27144.041526899968	2687	25%	-3.9614258	Chr06	miss50
PI533927_PI533927	-22943.643212299972	2315	25%	-3.9614258	Chr06	miss50
PI533936_PI533936	-34234.6252104	3369	25%	-3.9614258	Chr06	miss50
PI533937_PI533937	-30183.713268200023	2948	25%	-3.9614258	Chr06	miss50
PI533938_PI533938	-25066.783635099953	2564	25%	-3.9614258	Chr06	miss50
PI533939_PI533939	-25228.179907800008	2499	25%	-3.9614258	Chr06	miss50
PI533940_PI533940	-90972.04734120019	8812	25%	-3.9614258	Chr06	miss50
PI533943_PI533943	-24578.015403000012	2502	25%	-3.9614258	Chr06	miss50
PI533948_PI533948	-29994.382343200043	2914	25%	-3.9614258	Chr06	miss50
PI533949_PI533949	-32641.850513600024	3203	25%	-3.9614258	Chr06	miss50
PI533954_PI533954	-24241.0600315	2418	25%	-3.9614258	Chr06	miss50
PI533955_PI533955	-30878.092328900006	3005	25%	-3.9614258	Chr06	miss50
PI533956_PI533956	-28542.390443900007	2797	25%	-3.9614258	Chr06	miss50
PI533957_PI533957	-25217.09362139996	2532	25%	-3.9614258	Chr06	miss50
PI533961_PI533961	-246849.17414399824	23960	25%	-3.9614258	Chr06	miss50
PI533962_PI533962	-26436.494134400007	2666	25%	-3.9614258	Chr06	miss50
PI533964_PI533964	-34657.369877799974	3435	25%	-3.9614258	Chr06	miss50
PI533965_PI533965	-249985.2427335997	24039	25%	-3.9614258	Chr06	miss50
PI533967_PI533967	-256072.96367519844	24778	25%	-3.9614258	Chr06	miss50
PI533970_PI533970	-30519.83843390001	3000	25%	-3.9614258	Chr06	miss50
PI533972_PI533972	-30419.71647570001	3046	25%	-3.9614258	Chr06	miss50
PI533976_PI533976	-32377.612306600062	3239	25%	-3.9614258	Chr06	miss50
PI533979_PI533979	-235231.36521189968	22568	25%	-3.9614258	Chr06	miss50
PI533980_PI533980	-28707.046006099983	2817	25%	-3.9614258	Chr06	miss50
PI533985_PI533985	-39115.4650474	3876	25%	-3.9614258	Chr06	miss50
PI533986_PI533986	-29461.493074500035	2872	25%	-3.9614258	Chr06	miss50
PI533987_PI533987	-37499.02282100004	3692	25%	-3.9614258	Chr06	miss50
PI533989_PI533989	-30804.7141209	3098	25%	-3.9614258	Chr06	miss50
PI533991_PI533991	-38415.09293339997	3791	25%	-3.9614258	Chr06	miss50
PI533996_PI533996	-25253.105452199987	2609	25%	-3.9614258	Chr06	miss50
PI533997_PI533997	-31294.775304100018	3127	25%	-3.9614258	Chr06	miss50
PI534009_PI534009	-23502.57083550004	2383	25%	-3.9614258	Chr06	miss50
PI534021_PI534021	-28793.910581600052	2853	25%	-3.9614258	Chr06	miss50
PI534028_PI534028	-195923.16184439935	19222	25%	-3.9614258	Chr06	miss50
PI534037_PI534037	-23637.616618899956	2391	25%	-3.9614258	Chr06	miss50
PI534046_PI534046	-23755.047059599943	2389	25%	-3.9614258	Chr06	miss50
PI534047_PI534047	-40578.22677600004	4023	25%	-3.9614258	Chr06	miss50
PI534053_PI534053	-256015.31950319835	24757	25%	-3.9614258	Chr06	miss50
PI534054_PI534054	-28361.600035600033	2768	25%	-3.9614258	Chr06	miss50
PI534063_PI534063	-28106.21197720004	2769	25%	-3.9614258	Chr06	miss50
PI534070_PI534070	-27074.246436900008	2651	25%	-3.9614258	Chr06	miss50
PI534075_PI534075	-25318.41553300002	2566	25%	-3.9614258	Chr06	miss50
PI534079_PI534079	-24127.19545220001	2416	25%	-3.9614258	Chr06	miss50
PI534088_PI534088	-26365.793065000053	2634	25%	-3.9614258	Chr06	miss50
PI534092_PI534092	-28527.22011250003	2887	25%	-3.9614258	Chr06	miss50
PI534096_PI534096	-30972.63827989998	3103	25%	-3.9614258	Chr06	miss50
PI534097_PI534097	-239009.4961075991	23159	25%	-3.9614258	Chr06	miss50
PI534099_PI534099	-32527.818076400024	3250	25%	-3.9614258	Chr06	miss50
PI534101_PI534101	-46208.85033240005	6704	25%	-3.9614258	Chr06	miss50
PI534105_PI534105	-30150.697588800023	2935	25%	-3.9614258	Chr06	miss50
PI534108_PI534108	-31890.046554500026	3159	25%	-3.9614258	Chr06	miss50
PI534112_PI534112	-68729.95230789985	11776	25%	-3.9614258	Chr06	miss50
PI534114_PI534114	-28608.254477600058	2796	25%	-3.9614258	Chr06	miss50
PI534115_PI534115	-27707.302255299983	2753	25%	-3.9614258	Chr06	miss50
PI534116_PI534116	-23761.19185049997	2425	25%	-3.9614258	Chr06	miss50
PI534117_PI534117	-25416.003633899978	2532	25%	-3.9614258	Chr06	miss50
PI534123_PI534123	-25863.703630799973	2606	25%	-3.9614258	Chr06	miss50
PI534124_PI534124	-24731.055437899984	2537	25%	-3.9614258	Chr06	miss50
PI534127_PI534127	-235471.76881709936	22777	25%	-3.9614258	Chr06	miss50
PI534128_PI534128	-228912.70596739894	22467	25%	-3.9614258	Chr06	miss50
PI534132_PI534132	-26153.2503975	3881	25%	-3.9614258	Chr06	miss50
PI534133_PI534133	-24679.01858109999	2471	25%	-3.9614258	Chr06	miss50
PI534135_PI534135	-24455.55347530001	2414	25%	-3.9614258	Chr06	miss50
PI534137_PI534137	-249993.07088759978	23949	25%	-3.9614258	Chr06	miss50
PI534138_PI534138	-30977.24293279993	3075	25%	-3.9614258	Chr06	miss50
PI534139_PI534139	-254834.40053539988	24271	25%	-3.9614258	Chr06	miss50
PI534144_PI534144	-261642.2510822993	35994	25%	-3.9614258	Chr06	miss50
PI534145_PI534145	-27517.342801400013	2699	25%	-3.9614258	Chr06	miss50
PI534148_PI534148	-250332.09928169983	24009	25%	-3.9614258	Chr06	miss50
PI534155_PI534155	-29229.82399720003	3030	25%	-3.9614258	Chr06	miss50
PI534157_PI534157	-61266.04292540008	9301	25%	-3.9614258	Chr06	miss50
PI534163_PI534163	-26854.35803590002	2749	25%	-3.9614258	Chr06	miss50
PI534167_PI534167	-24502.199771799977	2474	25%	-3.9614258	Chr06	miss50
PI540816_PI540816	-246205.80584419897	23811	25%	-3.9614258	Chr06	miss50
PI542406_PI542406	-234638.02592829877	23030	25%	-3.9614258	Chr06	miss50
PI542718_PI542718	-236165.8224141997	22588	25%	-3.9614258	Chr06	miss50
PI548797_PI548797	-261645.96681259855	25265	25%	-3.9614258	Chr06	miss50
PI552856_PI552856	-30886.533972000052	2984	25%	-3.9614258	Chr06	miss50
PI552861_PI552861	-33151.95747880005	3213	25%	-3.9614258	Chr06	miss50
PI561071_PI561071	-232673.69763719887	22244	25%	-3.9614258	Chr06	miss50
PI561072_PI561072	-35015.854513000035	3383	25%	-3.9614258	Chr06	miss50
PI561073_PI561073	-260006.80721819837	25728	25%	-3.9614258	Chr06	miss50
PI561472_PI561472	-249633.68916869903	25943	25%	-3.9614258	Chr06	miss50
PI562730_PI562730	-223559.06773179944	21623	25%	-3.9614258	Chr06	miss50
PI564163_PI564163	-35079.179744199995	3848	25%	-3.9614258	Chr06	miss50
PI564164_PI564164	-31682.5288069	3379	25%	-3.9614258	Chr06	miss50
PI564165_PI564165	-29050.7134246	2928	25%	-3.9614258	Chr06	miss50
PI565121_PI565121	-26275.463082899954	2585	25%	-3.9614258	Chr06	miss50
PI566819_PI566819	-34916.05034739997	3530	25%	-3.9614258	Chr06	miss50
PI576130_PI576130	-243821.88727939865	23391	25%	-3.9614258	Chr06	miss50
PI576332_PI576332	-33191.14753720001	3346	25%	-3.9614258	Chr06	miss50
PI576333_PI576333	-36187.23387260005	3517	25%	-3.9614258	Chr06	miss50
PI576337_PI576337	-132424.00537909937	22805	25%	-3.9614258	Chr06	miss50
PI576339_PI576339	-29294.817008300044	2849	25%	-3.9614258	Chr06	miss50
PI576340_PI576340	-31887.466254300038	3086	25%	-3.9614258	Chr06	miss50
PI576345_PI576345	-33556.19091900006	3257	25%	-3.9614258	Chr06	miss50
PI576347_PI576347	-252525.31605849994	24892	25%	-3.9614258	Chr06	miss50
PI576348_PI576348	-127578.9575861001	12782	25%	-3.9614258	Chr06	miss50
PI576349_PI576349	-125592.6592311998	12393	25%	-3.9614258	Chr06	miss50
PI576350_PI576350	-139913.78443929955	25411	25%	-3.9614258	Chr06	miss50
PI576352_PI576352	-28666.905675800022	2774	25%	-3.9614258	Chr06	miss50
PI576359_PI576359	-34427.56455379999	3385	25%	-3.9614258	Chr06	miss50
PI576364_PI576364	-34608.3726835	3394	25%	-3.9614258	Chr06	miss50
PI576366_PI576366	-32969.87609770002	3292	25%	-3.9614258	Chr06	miss50
PI576373_PI576373	-28799.498198400037	2828	25%	-3.9614258	Chr06	miss50
PI576375_PI576375	-26185.74508000002	2615	25%	-3.9614258	Chr06	miss50
PI576376_PI576376	-227384.0268997008	26399	25%	-3.9614258	Chr06	miss50
PI576380_PI576380	-26439.475447800018	2610	25%	-3.9614258	Chr06	miss50
PI576381_PI576381	-239517.99571809918	23182	25%	-3.9614258	Chr06	miss50
PI576385_PI576385	-24184.189932399997	2384	25%	-3.9614258	Chr06	miss50
PI576386_PI576386	-23172.696217100005	2267	25%	-3.9614258	Chr06	miss50
PI576387_PI576387	-29231.161800200003	2912	25%	-3.9614258	Chr06	miss50
PI576390_PI576390	-249010.67381209994	23769	25%	-3.9614258	Chr06	miss50
PI576391_PI576391	-245946.03477749965	23622	25%	-3.9614258	Chr06	miss50
PI576393_PI576393	-24560.384026700027	2571	25%	-3.9614258	Chr06	miss50
PI576394_PI576394	-164473.24132679903	15897	25%	-3.9614258	Chr06	miss50
PI576396_PI576396	-24852.28287700003	2440	25%	-3.9614258	Chr06	miss50
PI576399_PI576399	-29828.72612990004	2953	25%	-3.9614258	Chr06	miss50
PI576401_PI576401	-34527.23026600002	3437	25%	-3.9614258	Chr06	miss50
PI576418_PI576418	-24781.67376370001	2467	25%	-3.9614258	Chr06	miss50
PI576422_PI576422	-26093.5713042	2559	25%	-3.9614258	Chr06	miss50
PI576425_PI576425	-62743.97384559996	10489	25%	-3.9614258	Chr06	miss50
PI576426_PI576426	-27926.198733500027	2807	25%	-3.9614258	Chr06	miss50
PI576428_PI576428	-27932.86881550001	2780	25%	-3.9614258	Chr06	miss50
PI576434_PI576434	-25834.468425800023	2612	25%	-3.9614258	Chr06	miss50
PI576435_PI576435	-240624.19862709905	23112	25%	-3.9614258	Chr06	miss50
PI576437_PI576437	-41903.89894650005	4123	25%	-3.9614258	Chr06	miss50
PI585291_PI585291	-151429.31263739918	27445	25%	-3.9614258	Chr06	miss50
PI585295_PI585295	-43860.7467961	4292	25%	-3.9614258	Chr06	miss50
PI595699_PI595699	-34307.778082700024	3383	25%	-3.9614258	Chr06	miss50
PI595702_PI595702	-31109.524221800013	3059	25%	-3.9614258	Chr06	miss50
PI595714_PI595714	-28542.313276800058	2860	25%	-3.9614258	Chr06	miss50
PI595718_PI595718	-253763.6630154984	24613	25%	-3.9614258	Chr06	miss50
PI595720_PI595720	-23587.75552859998	2350	25%	-3.9614258	Chr06	miss50
PI595739_PI595739	-33630.7252557	3310	25%	-3.9614258	Chr06	miss50
PI595740_PI595740	-235822.06780119956	23147	25%	-3.9614258	Chr06	miss50
PI595741_PI595741	-35296.33487820003	3481	25%	-3.9614258	Chr06	miss50
PI595743_PI595743	-62220.59542909984	9855	25%	-3.9614258	Chr06	miss50
PI595744_PI595744	-29149.47364010004	2857	25%	-3.9614258	Chr06	miss50
PI595745_PI595745	-28646.07191420003	2831	25%	-3.9614258	Chr06	miss50
PI597945_PI597945	-214736.60498329948	20737	25%	-3.9614258	Chr06	miss50
PI597946_PI597946	-128746.53955809964	12631	25%	-3.9614258	Chr06	miss50
PI597949_PI597949	-25028.73880950003	2492	25%	-3.9614258	Chr06	miss50
