sample	Genetic_load	N_del	cutoff	cutoff_score	chr	miss
PI152651_PI152651	-74720.66362449995	8374	25%	-3.3007812	Chr02	miss50
PI17548_PI17548	-202674.45693629977	21551	25%	-3.3007812	Chr02	miss50
PI24969_PI24969	-225826.7166869992	23979	25%	-3.3007812	Chr02	miss50
PI276837_PI276837	-217016.97274419974	23672	25%	-3.3007812	Chr02	miss50
PI329435_PI329435	-75025.73161940009	8679	25%	-3.3007812	Chr02	miss50
PI329440_PI329440	-79458.69302170009	8635	25%	-3.3007812	Chr02	miss50
PI34911_PI34911	-70905.62352479984	7705	25%	-3.3007812	Chr02	miss50
PI35038_PI35038	-87851.38985859994	9450	25%	-3.3007812	Chr02	miss50
PI48770_PI48770	-97177.2319975006	13845	25%	-3.3007812	Chr02	miss50
PI533750_PI533750	-218720.22215139988	23020	25%	-3.3007812	Chr02	miss50
PI533752_PI533752	-71125.86446869995	7667	25%	-3.3007812	Chr02	miss50
PI533754_PI533754	-197937.7291092996	21578	25%	-3.3007812	Chr02	miss50
PI533755_PI533755	-73236.76308279994	8374	25%	-3.3007812	Chr02	miss50
PI533757_PI533757	-71572.91225039998	7738	25%	-3.3007812	Chr02	miss50
PI533758_PI533758	-71915.13905839997	7729	25%	-3.3007812	Chr02	miss50
PI533759_PI533759	-73673.80652570009	7898	25%	-3.3007812	Chr02	miss50
PI533760_PI533760	-76750.0691004	8281	25%	-3.3007812	Chr02	miss50
PI533761_PI533761	-76319.12907709993	8203	25%	-3.3007812	Chr02	miss50
PI533762_PI533762	-91308.38562449992	14620	25%	-3.3007812	Chr02	miss50
PI533766_PI533766	-201983.43626800037	21284	25%	-3.3007812	Chr02	miss50
PI533769_PI533769	-71704.20600460007	7815	25%	-3.3007812	Chr02	miss50
PI533776_PI533776	-205416.89691540046	21690	25%	-3.3007812	Chr02	miss50
PI533785_PI533785	-201746.67857470052	21668	25%	-3.3007812	Chr02	miss50
PI533788_PI533788	-80279.05866659991	8809	25%	-3.3007812	Chr02	miss50
PI533789_PI533789	-79256.75686509995	8558	25%	-3.3007812	Chr02	miss50
PI533792_PI533792	-223605.7014566001	23785	25%	-3.3007812	Chr02	miss50
PI533794_PI533794	-227756.18313160003	24089	25%	-3.3007812	Chr02	miss50
PI533799_PI533799	-226894.03489060063	24113	25%	-3.3007812	Chr02	miss50
PI533800_PI533800	-71003.26115510002	7835	25%	-3.3007812	Chr02	miss50
PI533807_PI533807	-72370.91620219992	7898	25%	-3.3007812	Chr02	miss50
PI533810_PI533810	-216887.29687559968	23009	25%	-3.3007812	Chr02	miss50
PI533814_PI533814	-206126.9479079996	21943	25%	-3.3007812	Chr02	miss50
PI533821_PI533821	-62964.085987200015	6890	25%	-3.3007812	Chr02	miss50
PI533822_PI533822	-79365.9700551	8668	25%	-3.3007812	Chr02	miss50
PI533824_PI533824	-182879.54623419917	19369	25%	-3.3007812	Chr02	miss50
PI533830_PI533830	-83601.92549179996	10548	25%	-3.3007812	Chr02	miss50
PI533831_PI533831	-66670.04579979985	7349	25%	-3.3007812	Chr02	miss50
PI533833_PI533833	-80331.91307529985	8637	25%	-3.3007812	Chr02	miss50
PI533838_PI533838	-68763.67338479996	7569	25%	-3.3007812	Chr02	miss50
PI533839_PI533839	-179410.7863842001	19337	25%	-3.3007812	Chr02	miss50
PI533841_PI533841	-203973.0829554	21523	25%	-3.3007812	Chr02	miss50
PI533842_PI533842	-186869.7987531999	19937	25%	-3.3007812	Chr02	miss50
PI533843_PI533843	-136363.28368629975	14860	25%	-3.3007812	Chr02	miss50
PI533845_PI533845	-77256.72596980009	8601	25%	-3.3007812	Chr02	miss50
PI533852_PI533852	-208112.37182169908	22772	25%	-3.3007812	Chr02	miss50
PI533855_PI533855	-94146.94320490022	14756	25%	-3.3007812	Chr02	miss50
PI533856_PI533856	-185206.6456738997	19708	25%	-3.3007812	Chr02	miss50
PI533863_PI533863	-72650.03839990002	8255	25%	-3.3007812	Chr02	miss50
PI533866_PI533866	-207565.13274380032	21771	25%	-3.3007812	Chr02	miss50
PI533869_PI533869	-71961.11830290013	7949	25%	-3.3007812	Chr02	miss50
PI533871_PI533871	-206755.91814219992	21730	25%	-3.3007812	Chr02	miss50
PI533876_PI533876	-139406.31899959996	25357	25%	-3.3007812	Chr02	miss50
PI533877_PI533877	-203775.04843829983	23996	25%	-3.3007812	Chr02	miss50
PI533878_PI533878	-203553.41797490048	22148	25%	-3.3007812	Chr02	miss50
PI533882_PI533882	-73704.84335820004	8084	25%	-3.3007812	Chr02	miss50
PI533901_PI533901	-69548.6022052999	7593	25%	-3.3007812	Chr02	miss50
PI533902_PI533902	-81529.23284919997	8952	25%	-3.3007812	Chr02	miss50
PI533903_PI533903	-112939.52695490017	12481	25%	-3.3007812	Chr02	miss50
PI533910_PI533910	-69975.30005590005	7776	25%	-3.3007812	Chr02	miss50
PI533911_PI533911	-180343.22033620023	19327	25%	-3.3007812	Chr02	miss50
PI533912_PI533912	-78248.12804160002	8578	25%	-3.3007812	Chr02	miss50
