sample	Genetic_load	N_del	cutoff	cutoff_score	chr	miss
PI152651_PI152651	-137937.91212030005	13874	25%	-3.9101562	Chr08	miss50
PI17548_PI17548	-138980.04745739995	13556	25%	-3.9101562	Chr08	miss50
PI24969_PI24969	-150537.87529100044	14743	25%	-3.9101562	Chr08	miss50
PI276837_PI276837	-160627.972115	15802	25%	-3.9101562	Chr08	miss50
PI329435_PI329435	-193509.5601356998	19998	25%	-3.9101562	Chr08	miss50
PI329440_PI329440	-144501.92034980032	14187	25%	-3.9101562	Chr08	miss50
PI34911_PI34911	-148803.34463380033	14509	25%	-3.9101562	Chr08	miss50
PI35038_PI35038	-118845.45872570023	11369	25%	-3.9101562	Chr08	miss50
PI48770_PI48770	-116839.58636770012	12194	25%	-3.9101562	Chr08	miss50
PI533750_PI533750	-114511.82627230023	10950	25%	-3.9101562	Chr08	miss50
PI533752_PI533752	-139738.9239517003	13465	25%	-3.9101562	Chr08	miss50
PI533754_PI533754	-130751.14018619993	13093	25%	-3.9101562	Chr08	miss50
PI533755_PI533755	-141041.52607050043	14251	25%	-3.9101562	Chr08	miss50
PI533757_PI533757	-141481.92237640015	13728	25%	-3.9101562	Chr08	miss50
PI533758_PI533758	-116613.4540758	11138	25%	-3.9101562	Chr08	miss50
PI533759_PI533759	-98128.53694910006	9367	25%	-3.9101562	Chr08	miss50
PI533760_PI533760	-161298.77751660036	15509	25%	-3.9101562	Chr08	miss50
PI533761_PI533761	-139848.4432838002	13442	25%	-3.9101562	Chr08	miss50
PI533762_PI533762	-137203.07197410025	19203	25%	-3.9101562	Chr08	miss50
PI533766_PI533766	-106999.70537780026	10323	25%	-3.9101562	Chr08	miss50
PI533769_PI533769	-78965.8536760999	7706	25%	-3.9101562	Chr08	miss50
PI533776_PI533776	-112409.91514230033	10848	25%	-3.9101562	Chr08	miss50
PI533785_PI533785	-115452.01051039988	11242	25%	-3.9101562	Chr08	miss50
PI533788_PI533788	-151159.3767178001	14779	25%	-3.9101562	Chr08	miss50
PI533789_PI533789	-141694.15358320027	13668	25%	-3.9101562	Chr08	miss50
PI533792_PI533792	-113606.02493590002	10875	25%	-3.9101562	Chr08	miss50
PI533794_PI533794	-152391.75519320054	14634	25%	-3.9101562	Chr08	miss50
PI533799_PI533799	-152037.4769251005	14631	25%	-3.9101562	Chr08	miss50
PI533800_PI533800	-157225.10680570034	15552	25%	-3.9101562	Chr08	miss50
