sample	Genetic_load	N_del	cutoff	cutoff_score	chr	miss
PI152651_PI152651	-163146.47035290027	16251	25%	-3.803711	Chr10	miss50
PI17548_PI17548	-176145.25052600054	17696	25%	-3.803711	Chr10	miss50
PI24969_PI24969	-164444.65305269937	16072	25%	-3.803711	Chr10	miss50
PI276837_PI276837	-159923.10938910002	15437	25%	-3.803711	Chr10	miss50
PI329435_PI329435	-159220.9726647003	15457	25%	-3.803711	Chr10	miss50
PI329440_PI329440	-172007.7876442998	16980	25%	-3.803711	Chr10	miss50
PI34911_PI34911	-171319.6236991998	16852	25%	-3.803711	Chr10	miss50
PI35038_PI35038	-160991.8439492001	15955	25%	-3.803711	Chr10	miss50
PI48770_PI48770	-167301.80827110066	23077	25%	-3.803711	Chr10	miss50
PI533750_PI533750	-159560.62554730006	15979	25%	-3.803711	Chr10	miss50
PI533752_PI533752	-161540.5304367002	15822	25%	-3.803711	Chr10	miss50
PI533754_PI533754	-120142.78090070005	12236	25%	-3.803711	Chr10	miss50
PI533755_PI533755	-167022.7650911001	16836	25%	-3.803711	Chr10	miss50
PI533757_PI533757	-161414.59310889998	15946	25%	-3.803711	Chr10	miss50
PI533758_PI533758	-167933.8672697996	16466	25%	-3.803711	Chr10	miss50
PI533759_PI533759	-163865.51288990016	15924	25%	-3.803711	Chr10	miss50
PI533760_PI533760	-159713.50064590026	15741	25%	-3.803711	Chr10	miss50
PI533761_PI533761	-159091.90725479994	15437	25%	-3.803711	Chr10	miss50
PI533762_PI533762	-169648.54234500043	24347	25%	-3.803711	Chr10	miss50
PI533766_PI533766	-161900.3429184997	15775	25%	-3.803711	Chr10	miss50
PI533769_PI533769	-91962.31512900016	9193	25%	-3.803711	Chr10	miss50
PI533776_PI533776	-162705.77421839946	15903	25%	-3.803711	Chr10	miss50
PI533785_PI533785	-159691.15333959972	15693	25%	-3.803711	Chr10	miss50
PI533788_PI533788	-159407.82997630024	15952	25%	-3.803711	Chr10	miss50
PI533789_PI533789	-160174.39976700017	15645	25%	-3.803711	Chr10	miss50
PI533792_PI533792	-158945.59169019965	15507	25%	-3.803711	Chr10	miss50
PI533794_PI533794	-166102.30770900007	16212	25%	-3.803711	Chr10	miss50
PI533799_PI533799	-166172.24723230008	16172	25%	-3.803711	Chr10	miss50
PI533800_PI533800	-158952.89600879978	15399	25%	-3.803711	Chr10	miss50
PI533807_PI533807	-107159.27838270021	10616	25%	-3.803711	Chr10	miss50
PI533810_PI533810	-158056.3215800006	15783	25%	-3.803711	Chr10	miss50
PI533814_PI533814	-156043.43310570018	15544	25%	-3.803711	Chr10	miss50
PI533821_PI533821	-107114.49860870013	10494	25%	-3.803711	Chr10	miss50
PI533822_PI533822	-167292.63491699993	16530	25%	-3.803711	Chr10	miss50
PI533824_PI533824	-73994.1815654	7485	25%	-3.803711	Chr10	miss50
PI533830_PI533830	-165944.6015159998	28648	25%	-3.803711	Chr10	miss50
PI533831_PI533831	-167260.94192870043	16469	25%	-3.803711	Chr10	miss50
PI533833_PI533833	-175159.79128930008	17239	25%	-3.803711	Chr10	miss50
PI533838_PI533838	-164463.77785790016	16412	25%	-3.803711	Chr10	miss50
PI533839_PI533839	-38031.615991700055	4047	25%	-3.803711	Chr10	miss50
PI533841_PI533841	-163479.54501579955	15939	25%	-3.803711	Chr10	miss50
PI533842_PI533842	-157600.83655790042	15780	25%	-3.803711	Chr10	miss50
PI533843_PI533843	-184987.90854540066	18339	25%	-3.803711	Chr10	miss50
PI533845_PI533845	-184161.6977842004	18445	25%	-3.803711	Chr10	miss50
PI533852_PI533852	-157773.89439060044	16410	25%	-3.803711	Chr10	miss50
PI533855_PI533855	-176445.86857640086	26141	25%	-3.803711	Chr10	miss50
PI533856_PI533856	-156449.97155910052	15561	25%	-3.803711	Chr10	miss50
PI533863_PI533863	-171670.2249333002	26929	25%	-3.803711	Chr10	miss50
PI533866_PI533866	-154650.70657909932	15024	25%	-3.803711	Chr10	miss50
PI533869_PI533869	-174902.54935780008	17410	25%	-3.803711	Chr10	miss50
PI533871_PI533871	-165740.2743538001	16103	25%	-3.803711	Chr10	miss50
PI533876_PI533876	-133709.57633780089	21310	25%	-3.803711	Chr10	miss50
PI533877_PI533877	-162831.28792199996	16922	25%	-3.803711	Chr10	miss50
PI533878_PI533878	-149798.2309337999	15300	25%	-3.803711	Chr10	miss50
PI533882_PI533882	-159982.04163149942	15615	25%	-3.803711	Chr10	miss50
PI533901_PI533901	-164049.92108390015	16353	25%	-3.803711	Chr10	miss50
PI533902_PI533902	-147459.8834843996	23768	25%	-3.803711	Chr10	miss50
PI533903_PI533903	-71356.87371840006	7312	25%	-3.803711	Chr10	miss50
PI533910_PI533910	-163030.45461969997	16207	25%	-3.803711	Chr10	miss50
PI533911_PI533911	-158190.26569730014	15699	25%	-3.803711	Chr10	miss50
PI533912_PI533912	-161375.09800470024	16081	25%	-3.803711	Chr10	miss50
PI533913_PI533913	-157054.70265139994	15480	25%	-3.803711	Chr10	miss50
PI533915_PI533915	-158397.36969859968	15505	25%	-3.803711	Chr10	miss50
PI533919_PI533919	-110090.5236950003	11388	25%	-3.803711	Chr10	miss50
PI533921_PI533921	-163009.31621420008	16085	25%	-3.803711	Chr10	miss50
PI533924_PI533924	-106905.38539800006	10639	25%	-3.803711	Chr10	miss50
PI533927_PI533927	-176266.00273129993	17537	25%	-3.803711	Chr10	miss50
PI533936_PI533936	-167909.59510010033	16443	25%	-3.803711	Chr10	miss50
PI533937_PI533937	-168802.41868080013	16679	25%	-3.803711	Chr10	miss50
PI533938_PI533938	-157815.58810839988	15811	25%	-3.803711	Chr10	miss50
PI533939_PI533939	-166195.78004620012	16069	25%	-3.803711	Chr10	miss50
PI533940_PI533940	-183043.35147020026	17912	25%	-3.803711	Chr10	miss50
PI533943_PI533943	-158751.36531860018	15675	25%	-3.803711	Chr10	miss50
PI533948_PI533948	-167183.36962289998	16278	25%	-3.803711	Chr10	miss50
PI533949_PI533949	-174756.53256970012	17019	25%	-3.803711	Chr10	miss50
PI533954_PI533954	-174768.6477359001	17314	25%	-3.803711	Chr10	miss50
PI533955_PI533955	-182282.80349349978	17854	25%	-3.803711	Chr10	miss50
PI533956_PI533956	-160445.4858318	15607	25%	-3.803711	Chr10	miss50
PI533957_PI533957	-147367.77380179995	14575	25%	-3.803711	Chr10	miss50
PI533961_PI533961	-171926.5736558994	16917	25%	-3.803711	Chr10	miss50
PI533962_PI533962	-162142.25749970038	16182	25%	-3.803711	Chr10	miss50
PI533964_PI533964	-161501.62290360066	15732	25%	-3.803711	Chr10	miss50
PI533965_PI533965	-161111.91050290037	15844	25%	-3.803711	Chr10	miss50
PI533967_PI533967	-161914.30906700002	16326	25%	-3.803711	Chr10	miss50
PI533970_PI533970	-163776.05518860035	16138	25%	-3.803711	Chr10	miss50
PI533972_PI533972	-162465.4608577003	15916	25%	-3.803711	Chr10	miss50
PI533976_PI533976	-159554.74070320046	15899	25%	-3.803711	Chr10	miss50
PI533979_PI533979	-167333.22334340026	16364	25%	-3.803711	Chr10	miss50
PI533980_PI533980	-167450.29504510024	16337	25%	-3.803711	Chr10	miss50
PI533985_PI533985	-167654.77390050064	16432	25%	-3.803711	Chr10	miss50
PI533986_PI533986	-165287.91686280005	16163	25%	-3.803711	Chr10	miss50
PI533987_PI533987	-158762.7702286002	15422	25%	-3.803711	Chr10	miss50
PI533989_PI533989	-167211.47224940013	16897	25%	-3.803711	Chr10	miss50
PI533991_PI533991	-162807.31650580035	16039	25%	-3.803711	Chr10	miss50
PI533996_PI533996	-165609.3775240003	16182	25%	-3.803711	Chr10	miss50
PI533997_PI533997	-102219.04949920012	10539	25%	-3.803711	Chr10	miss50
PI534009_PI534009	-170772.2852278997	16775	25%	-3.803711	Chr10	miss50
PI534021_PI534021	-157505.81419220043	15681	25%	-3.803711	Chr10	miss50
PI534028_PI534028	-165033.95574650043	16602	25%	-3.803711	Chr10	miss50
PI534037_PI534037	-141447.96558970015	14063	25%	-3.803711	Chr10	miss50
PI534046_PI534046	-162829.0105034001	15973	25%	-3.803711	Chr10	miss50
PI534047_PI534047	-156820.79192569983	15525	25%	-3.803711	Chr10	miss50
PI534053_PI534053	-164078.61814570034	16062	25%	-3.803711	Chr10	miss50
PI534054_PI534054	-178719.47035650027	17625	25%	-3.803711	Chr10	miss50
PI534063_PI534063	-164886.66557449978	16040	25%	-3.803711	Chr10	miss50
PI534070_PI534070	-158654.29302469967	15416	25%	-3.803711	Chr10	miss50
PI534075_PI534075	-166321.63811519957	16379	25%	-3.803711	Chr10	miss50
PI534079_PI534079	-160277.29476160053	15934	25%	-3.803711	Chr10	miss50
PI534088_PI534088	-158830.1843062	15460	25%	-3.803711	Chr10	miss50
PI534092_PI534092	-153177.26572749956	15238	25%	-3.803711	Chr10	miss50
PI534096_PI534096	-37374.22165660001	3945	25%	-3.803711	Chr10	miss50
PI534097_PI534097	-177417.08950419986	17567	25%	-3.803711	Chr10	miss50
PI534099_PI534099	-172318.62527469985	17420	25%	-3.803711	Chr10	miss50
PI534101_PI534101	-152323.67478570016	15857	25%	-3.803711	Chr10	miss50
PI534105_PI534105	-175119.37676659971	17048	25%	-3.803711	Chr10	miss50
PI534108_PI534108	-161111.6900345001	16079	25%	-3.803711	Chr10	miss50
PI534112_PI534112	-165713.19719739974	25043	25%	-3.803711	Chr10	miss50
PI534114_PI534114	-163987.84708129993	16060	25%	-3.803711	Chr10	miss50
PI534115_PI534115	-161388.3527365002	15591	25%	-3.803711	Chr10	miss50
PI534116_PI534116	-160030.80464519997	15979	25%	-3.803711	Chr10	miss50
PI534117_PI534117	-103707.28685350006	10297	25%	-3.803711	Chr10	miss50
PI534123_PI534123	-106500.50688250005	10547	25%	-3.803711	Chr10	miss50
PI534124_PI534124	-106782.31340480024	10699	25%	-3.803711	Chr10	miss50
PI534127_PI534127	-166539.91789330036	16533	25%	-3.803711	Chr10	miss50
PI534128_PI534128	-163575.10926940027	16484	25%	-3.803711	Chr10	miss50
PI534132_PI534132	-157343.69502840049	24031	25%	-3.803711	Chr10	miss50
PI534133_PI534133	-146985.34138269987	14680	25%	-3.803711	Chr10	miss50
PI534135_PI534135	-115577.60927210008	11390	25%	-3.803711	Chr10	miss50
