selection_class	gene_id	best_neglog10p	best_gwas_pvalue	best_selection_score	best_selection_region	gwas_traits	gene_region	gene_description	overlap_rows	keyword_hit
FST_breeding	Sobic.004G031100	5.47366072261016	3.36e-06	0.307263	Chr4:2495001-2585000	X2020.primaryBranchNumber.N	Chr4:2541063-2546241(-)	bZIP transcription factor	1	TRUE
FST_breeding	Sobic.004G324000	5.12842706445412	7.44e-06	0.277638	Chr4:68365001-68410000	X2020.estimatedPlotYield.N	Chr4:68398377-68409236(+)	Glutamate-gated receptor that probably acts as non- selective cation channel	1	TRUE
FST_breeding	Sobic.001G249200	6.07727454200674	8.37e-07	0.274236	Chr1:27065001-27120000	X2020.thirdLeafLength.N	Chr1:27057733-27067348(-)	KH domain	1	FALSE
FST_breeding	Sobic.001G249233	6.07727454200674	8.37e-07	0.274236	Chr1:27065001-27120000	X2020.thirdLeafLength.N	Chr1:27067424-27074175(-)		1	FALSE
FST_breeding	Sobic.001G249266	6.07727454200674	8.37e-07	0.274236	Chr1:27065001-27120000	X2020.thirdLeafLength.N	Chr1:27084624-27089075(+)		1	FALSE
FST_breeding	Sobic.001G249300	6.07727454200674	8.37e-07	0.274236	Chr1:27065001-27120000	X2020.thirdLeafLength.N	Chr1:27090570-27097296(+)	Leucine Rich Repeat	1	FALSE
FST_breeding	Sobic.001G249400	6.07727454200674	8.37e-07	0.274236	Chr1:27065001-27120000	X2020.thirdLeafLength.N	Chr1:27110641-27119264(+)	Tetrapyrrole (Corrin/Porphyrin) Methylases	1	FALSE
FST_breeding	Sobic.004G030600	5.47366072261016	3.36e-06	0.307263	Chr4:2495001-2585000	X2020.primaryBranchNumber.N	Chr4:2500847-2509315(-)	PPR repeat	1	FALSE
FST_breeding	Sobic.004G030700	5.47366072261016	3.36e-06	0.307263	Chr4:2495001-2585000	X2020.primaryBranchNumber.N	Chr4:2505548-2513188(-)	conserved protein UCP030365	1	FALSE
FST_breeding	Sobic.004G030800	5.47366072261016	3.36e-06	0.307263	Chr4:2495001-2585000	X2020.primaryBranchNumber.N	Chr4:2514642-2527732(+)	Proline-, glutamic acid- and leucine-rich protein	1	FALSE
FST_breeding	Sobic.004G030900	5.47366072261016	3.36e-06	0.307263	Chr4:2495001-2585000	X2020.primaryBranchNumber.N	Chr4:2528150-2537894(+)	The RING-variant domain is a C4HC3 zinc-finger like motif found in a number of cellular and viral proteins. Some of these proteins have been shown both in vivo and in vitro to have ubiquitin E3 ligase activity.	1	FALSE
