overlap_id	gene_id	overlap_conditions	max_overlap_bp	gene_chr	gene_start	gene_end	gene_strand	gene_description	HN_chr	HN_start	HN_end	HN_pvalue	HN_lead_pos	HN_rank_or_count	HN_trait	LN_chr	LN_start	LN_end	LN_pvalue	LN_lead_pos	LN_rank_or_count	LN_trait	NR_chr	NR_start	NR_end	NR_pvalue	NR_lead_pos	NR_rank_or_count	NR_trait
common_001	Sobic.001G295650	LN	775	1	61529592	61530366	+	NA	1	61590284	61670284	9.6e-06	61630284	1	X2020.HN.rachisDiameterLowe	1	61508962	61592944	2.33e-06	61552313	6	X2020.LN.primaryBranchNumbe	1	61631043	61711043	2.07e-06	61671043	1	X2020.daysToFlower.N
common_001	Sobic.001G295700	LN	2039	1	61552955	61554993	+	Lipase (class 3)	1	61590284	61670284	9.6e-06	61630284	1	X2020.HN.rachisDiameterLowe	1	61508962	61592944	2.33e-06	61552313	6	X2020.LN.primaryBranchNumbe	1	61631043	61711043	2.07e-06	61671043	1	X2020.daysToFlower.N
common_001	Sobic.001G295800	LN	1712	1	61579148	61580859	-	Wall-associated receptor kinase galacturonan-binding	1	61590284	61670284	9.6e-06	61630284	1	X2020.HN.rachisDiameterLowe	1	61508962	61592944	2.33e-06	61552313	6	X2020.LN.primaryBranchNumbe	1	61631043	61711043	2.07e-06	61671043	1	X2020.daysToFlower.N
common_001	Sobic.001G295900	HN	3607	1	61596186	61599792	+		1	61590284	61670284	9.6e-06	61630284	1	X2020.HN.rachisDiameterLowe	1	61508962	61592944	2.33e-06	61552313	6	X2020.LN.primaryBranchNumbe	1	61631043	61711043	2.07e-06	61671043	1	X2020.daysToFlower.N
common_001	Sobic.001G296000	HN	1221	1	61599628	61600848	-		1	61590284	61670284	9.6e-06	61630284	1	X2020.HN.rachisDiameterLowe	1	61508962	61592944	2.33e-06	61552313	6	X2020.LN.primaryBranchNumbe	1	61631043	61711043	2.07e-06	61671043	1	X2020.daysToFlower.N
common_001	Sobic.001G296100	HN	4292	1	61606365	61610656	-		1	61590284	61670284	9.6e-06	61630284	1	X2020.HN.rachisDiameterLowe	1	61508962	61592944	2.33e-06	61552313	6	X2020.LN.primaryBranchNumbe	1	61631043	61711043	2.07e-06	61671043	1	X2020.daysToFlower.N
common_001	Sobic.001G296300	HN;NR	1342	1	61645804	61647145	+	DNA-binding domain in plant proteins such as APETALA2 and EREBPs	1	61590284	61670284	9.6e-06	61630284	1	X2020.HN.rachisDiameterLowe	1	61508962	61592944	2.33e-06	61552313	6	X2020.LN.primaryBranchNumbe	1	61631043	61711043	2.07e-06	61671043	1	X2020.daysToFlower.N
common_001	Sobic.001G296400	NR	17153	1	61673789	61690941	+	Palmitoyl protein thioesterase	1	61590284	61670284	9.6e-06	61630284	1	X2020.HN.rachisDiameterLowe	1	61508962	61592944	2.33e-06	61552313	6	X2020.LN.primaryBranchNumbe	1	61631043	61711043	2.07e-06	61671043	1	X2020.daysToFlower.N
common_001	Sobic.001G296500	NR	12134	1	61698910	61713686	-	Armadillo/beta-catenin-like repeat	1	61590284	61670284	9.6e-06	61630284	1	X2020.HN.rachisDiameterLowe	1	61508962	61592944	2.33e-06	61552313	6	X2020.LN.primaryBranchNumbe	1	61631043	61711043	2.07e-06	61671043	1	X2020.daysToFlower.N
common_002	Sobic.001G295900	HN	3607	1	61596186	61599792	+		1	61590284	61670284	9.6e-06	61630284	1	X2020.HN.rachisDiameterLowe	1	61629656	61709739	3.58e-06	61669656	7	X2020.LN.thirdLeafLengt	1	61631043	61711043	2.07e-06	61671043	1	X2020.daysToFlower.N
common_002	Sobic.001G296000	HN	1221	1	61599628	61600848	-		1	61590284	61670284	9.6e-06	61630284	1	X2020.HN.rachisDiameterLowe	1	61629656	61709739	3.58e-06	61669656	7	X2020.LN.thirdLeafLengt	1	61631043	61711043	2.07e-06	61671043	1	X2020.daysToFlower.N
common_002	Sobic.001G296100	HN	4292	1	61606365	61610656	-		1	61590284	61670284	9.6e-06	61630284	1	X2020.HN.rachisDiameterLowe	1	61629656	61709739	3.58e-06	61669656	7	X2020.LN.thirdLeafLengt	1	61631043	61711043	2.07e-06	61671043	1	X2020.daysToFlower.N
common_002	Sobic.001G296300	HN;LN;NR	1342	1	61645804	61647145	+	DNA-binding domain in plant proteins such as APETALA2 and EREBPs	1	61590284	61670284	9.6e-06	61630284	1	X2020.HN.rachisDiameterLowe	1	61629656	61709739	3.58e-06	61669656	7	X2020.LN.thirdLeafLengt	1	61631043	61711043	2.07e-06	61671043	1	X2020.daysToFlower.N
common_002	Sobic.001G296400	LN;NR	17153	1	61673789	61690941	+	Palmitoyl protein thioesterase	1	61590284	61670284	9.6e-06	61630284	1	X2020.HN.rachisDiameterLowe	1	61629656	61709739	3.58e-06	61669656	7	X2020.LN.thirdLeafLengt	1	61631043	61711043	2.07e-06	61671043	1	X2020.daysToFlower.N
common_002	Sobic.001G296500	LN;NR	12134	1	61698910	61713686	-	Armadillo/beta-catenin-like repeat	1	61590284	61670284	9.6e-06	61630284	1	X2020.HN.rachisDiameterLowe	1	61629656	61709739	3.58e-06	61669656	7	X2020.LN.thirdLeafLengt	1	61631043	61711043	2.07e-06	61671043	1	X2020.daysToFlower.N
